"D=2,N1012"	
0.1706 	1.5238 
-0.0809 	-1.2641 
0.9709 	-0.8136 
0.8062 	-0.9770 
-1.2569 	-0.8782 
-1.0141 	-1.4872 
1.5494 	-0.9161 
-1.4002 	0.6250 
-0.4450 	1.7441 
-0.8561 	-0.9336 
-0.5068 	1.7272 
-1.1043 	-1.0638 
1.2106 	0.3727 
1.2659 	-0.0429 
0.4114 	1.4771 
-0.9892 	-0.7911 
-0.7292 	1.0357 
-0.2550 	-1.2407 
1.2471 	0.2216 
1.6436 	0.7339 
1.6143 	-0.7963 
1.5331 	0.9431 
-0.6269 	1.1007 
-1.7757 	-0.2948 
0.0323 	1.5330 
-1.2209 	-0.3373 
0.2955 	-1.5046 
-1.5189 	-0.2102 
1.3953 	-0.6358 
0.9236 	1.2239 
-1.5594 	0.8990 
-0.2396 	1.2438 
-1.4688 	-1.0406 
1.7529 	0.4089 
1.4122 	0.5973 
-0.6779 	1.3754 
1.0323 	0.7340 
0.6099 	1.1102 
-1.0578 	1.1100 
1.7441 	0.4450 
-0.4560 	-1.7413 
-1.1356 	-1.3965 
0.7042 	1.3621 
1.4179 	0.5837 
-1.0550 	0.7010 
-1.4922 	0.3527 
0.4493 	1.4660 
1.0465 	-1.1207 
-1.0343 	-0.7312 
1.2534 	0.1825 
1.2372 	-0.9057 
-1.7219 	0.5244 
1.1834 	0.4516 
1.2040 	0.9494 
1.2666 	-0.0125 
1.2016 	-1.3402 
-1.3487 	-1.1921 
1.5114 	0.2584 
-0.6748 	1.3769 
-1.4938 	0.3460 
1.4627 	1.0490 
-1.6239 	-0.7765 
-0.7036 	1.3624 
-1.4597 	0.4693 
-1.5890 	-0.8457 
1.3669 	0.6948 
1.6844 	0.6346 
-0.4826 	1.4554 
-1.5191 	-0.2086 
-1.1721 	-0.4802 
0.0813 	1.5312 
1.0809 	-0.6603 
0.5803 	-1.1259 
-1.6918 	0.6146 
1.2586 	-0.1425 
-1.3516 	-0.7240 
0.1498 	1.5260 
0.5697 	-1.4236 
-1.7163 	0.5425 
0.0002 	1.2667 
1.2173 	-0.3500 
1.1241 	1.4058 
-1.5286 	-0.1209 
1.5095 	-0.2691 
-1.0733 	-1.4450 
-0.9519 	-0.8357 
-1.7674 	0.3412 
-1.5893 	-0.8451 
1.5277 	-0.9519 
-1.0925 	1.0759 
0.2040 	1.5197 
-1.3597 	0.7088 
-0.2659 	1.7803 
-1.4413 	0.5233 
-1.2525 	-1.2927 
-1.7575 	-0.3887 
-1.3535 	1.1866 
1.2603 	-1.2851 
-0.4770 	1.4572 
-1.4564 	1.0577 
-1.5238 	-0.1704 
1.1723 	0.4798 
0.1791 	1.5228 
0.9316 	0.8583 
1.4643 	1.0468 
0.9774 	-0.8057 
1.7605 	0.3749 
0.9553 	-1.5256 
-1.7981 	-0.0822 
1.1583 	1.0047 
-1.2644 	0.0760 
-1.2436 	-0.8969 
1.5185 	0.9666 
1.2548 	-0.1728 
-0.7250 	-1.0387 
-1.2291 	0.3063 
1.1798 	-1.3594 
-0.1020 	1.2626 
0.6872 	-1.3707 
-0.6031 	1.1139 
1.1815 	-0.4567 
0.0469 	1.2658 
1.2210 	-0.3372 
-1.7958 	-0.1223 
-1.6538 	-0.7105 
1.2657 	-0.0500 
0.2016 	-1.5200 
-0.4943 	1.1662 
1.4331 	0.5454 
1.4749 	0.4192 
0.6935 	-1.6611 
-1.3052 	0.8047 
-0.9457 	0.8426 
-1.7810 	-0.2606 
1.4023 	-1.1285 
-1.2732 	0.8545 
-1.4265 	-1.0978 
1.2693 	0.8603 
-0.7887 	1.3150 
0.9410 	1.2106 
0.0407 	1.2660 
-1.1109 	1.0568 
-0.1613 	1.2564 
0.3860 	1.7581 
-1.2011 	-1.3407 
0.5532 	-1.7129 
0.4639 	1.7392 
1.4309 	-1.0920 
-0.0413 	-1.5328 
-1.2337 	-0.2871 
1.2442 	-0.2376 
-1.4077 	-0.6079 
0.3629 	1.7630 
1.1278 	-1.4029 
1.1647 	-1.3724 
-0.6972 	1.6595 
-0.7131 	1.3574 
0.6788 	-1.0694 
-1.7980 	0.0844 
1.1999 	0.4058 
0.3152 	-1.7722 
-1.6123 	0.8003 
-0.2870 	1.5062 
-0.7681 	1.3271 
-1.2067 	1.3356 
0.4999 	-1.7292 
1.7471 	0.4333 
-0.2240 	-1.5169 
0.8825 	-0.9086 
-0.3421 	1.4947 
-0.6998 	-1.0558 
0.2044 	1.7884 
-1.1048 	-1.0633 
1.3657 	0.6972 
1.2391 	-0.2627 
-1.3871 	-1.1471 
-1.3405 	1.2012 
1.5051 	0.2927 
0.7924 	-0.9882 
-1.4323 	-1.0902 
1.0382 	-1.4705 
-1.5327 	-0.0445 
1.7978 	0.0894 
1.5723 	-0.8763 
-1.0725 	0.6740 
-0.1990 	-1.7890 
0.8926 	1.2467 
0.5048 	-1.1618 
1.0678 	-0.6814 
0.3144 	-1.7723 
0.0686 	-1.5318 
-1.0485 	0.7107 
-0.5357 	-1.7184 
-1.4055 	-0.6130 
-1.5509 	-0.9137 
-0.7114 	1.0480 
-0.5105 	-1.7261 
0.8146 	1.2991 
1.5333 	0.0146 
-1.1718 	-0.4811 
-1.4684 	-0.4415 
-1.4558 	-0.4814 
-0.5236 	-1.4412 
1.1375 	-0.5573 
1.4401 	-0.5265 
1.0398 	-0.7234 
-1.4285 	-1.0952 
1.3715 	-0.6857 
1.3355 	1.2068 
-0.8281 	1.2905 
1.4927 	0.3507 
-1.7479 	-0.4298 
-0.1015 	-1.2626 
0.6422 	1.3924 
-1.6102 	0.8046 
1.2508 	0.8869 
-0.5908 	1.7003 
0.2383 	-1.2440 
-1.7517 	-0.4143 
0.2152 	-1.7871 
-0.8139 	-0.9706 
1.2006 	-0.9538 
1.1757 	0.4714 
0.5696 	1.1314 
-1.3263 	0.7695 
-0.1154 	-1.7963 
1.1994 	-0.9553 
1.2500 	0.2049 
1.1685 	1.3692 
-1.3622 	0.7039 
0.1645 	-1.7925 
-1.2518 	-0.1937 
0.0507 	-1.7993 
0.6116 	1.1092 
-0.7156 	-1.3561 
-0.9307 	-0.8592 
1.5319 	0.0659 
-0.1105 	-1.7966 
1.7976 	-0.0934 
1.0623 	1.1057 
-0.9817 	1.1779 
0.5548 	1.4294 
-0.3401 	-1.4951 
0.7882 	1.6183 
1.5281 	-0.1266 
1.2594 	0.1350 
1.7440 	0.4454 
0.6026 	-1.6961 
0.8061 	-0.9770 
-1.1585 	-0.5122 
0.0327 	-1.2662 
-1.5218 	-0.1875 
-1.3153 	-0.7880 
0.4609 	1.1799 
-1.7996 	-0.0389 
1.7087 	0.5661 
1.1888 	0.4373 
-0.7822 	1.3188 
