"D=2,N=2000"	
4.6694 	-9.3732 
-0.4079 	-10.8501 
-1.8095 	-4.6565 
-0.8731 	-11.0145 
9.5969 	-0.4958 
0.2827 	-4.6050 
-5.7810 	3.5506 
7.8760 	4.4423 
-3.4431 	-10.7566 
-3.7774 	-10.5469 
-3.9537 	-3.7818 
-4.0330 	-10.4087 
-3.3549 	-10.7376 
5.2981 	6.8801 
5.3959 	-8.8598 
-2.9138 	-4.3008 
1.4543 	7.9147 
-0.8631 	-10.9978 
5.6801 	-8.6969 
-3.3748 	-10.6743 
9.4758 	-1.8855 
3.3619 	-0.8628 
2.7524 	-10.2473 
-1.9807 	-10.7922 
9.2372 	-3.1882 
7.0933 	-7.1930 
7.7595 	-6.7050 
-0.3415 	7.9125 
9.5647 	-1.7556 
-4.6288 	-3.1470 
8.8146 	-4.6203 
3.2806 	-0.5257 
-5.7148 	3.5635 
3.2885 	-1.8767 
0.3410 	-4.5088 
4.2622 	-9.7076 
9.0064 	-4.1442 
-4.3929 	5.6350 
-2.9213 	-10.7347 
3.3942 	-0.7639 
2.5164 	7.8384 
-1.0119 	7.7231 
6.8699 	-7.5486 
5.5339 	-8.7606 
-5.2196 	-2.1520 
5.5561 	6.6811 
2.8801 	7.8576 
9.5769 	-1.2368 
8.6275 	-4.9364 
7.3602 	-7.1486 
-5.7203 	3.4237 
9.2007 	-3.2115 
9.6226 	-1.7332 
-4.2636 	-3.5783 
-1.2947 	-4.6291 
5.9506 	6.5153 
-3.4671 	-10.6668 
-3.2223 	6.6308 
9.0912 	2.3254 
-6.1520 	0.1029 
7.3539 	-6.9391 
-6.2330 	2.1776 
6.1982 	6.1446 
8.8518 	-4.3391 
0.4021 	-10.7630 
-3.4252 	-10.6291 
8.0470 	4.4102 
-2.7418 	-4.4071 
-3.4157 	-4.0088 
-6.0522 	2.2997 
3.3801 	-10.0126 
-6.1496 	1.9904 
4.7628 	-9.4088 
-6.2015 	1.3724 
-1.7691 	-10.9907 
-2.7559 	7.0550 
-5.6634 	-1.5987 
-6.2546 	1.8527 
9.5054 	0.5843 
4.5818 	7.1552 
-2.7143 	7.0510 
3.8369 	-9.9164 
9.0614 	2.3003 
8.0611 	4.2838 
-1.0286 	-11.0005 
-5.5445 	3.9873 
7.2073 	-7.2603 
7.2521 	-7.1328 
-0.9849 	7.7836 
8.6933 	3.3703 
1.7561 	-3.9359 
3.0608 	-2.5697 
7.3177 	5.1635 
6.3870 	-8.2080 
-2.0188 	-10.7898 
-2.1325 	-4.4619 
8.5646 	3.2476 
4.2841 	7.3968 
2.4110 	1.3198 
-3.4218 	6.5495 
-4.0875 	-3.4214 
5.6697 	-8.7391 
-4.7642 	5.4771 
7.3259 	5.2697 
-4.2434 	-3.3639 
9.3588 	1.3807 
-6.1648 	2.7094 
9.5159 	-1.7933 
9.1753 	-3.7946 
7.5848 	-6.7447 
3.2144 	7.6956 
1.2039 	-4.1681 
-6.1893 	0.4844 
-0.8202 	-10.8413 
-3.5603 	-3.8904 
4.0250 	-9.8159 
7.5756 	4.6788 
-5.3913 	-9.9444 
1.6868 	-3.9599 
2.8862 	7.9246 
-0.4947 	-4.6428 
-3.6582 	-10.5759 
1.4285 	1.8566 
6.4899 	-8.0607 
4.4520 	-9.4062 
1.8265 	-10.6092 
1.1271 	-4.3159 
0.0639 	8.0001 
-6.1072 	2.4379 
5.4136 	-9.0407 
2.0764 	8.0289 
-0.7242 	-10.9721 
-5.1149 	-2.5870 
-6.1182 	2.6075 
-3.1611 	-4.1977 
-2.4594 	-4.4808 
1.7394 	-10.5951 
8.8109 	2.5358 
8.0271 	4.1632 
-3.2150 	-4.2222 
2.6210 	-10.2836 
9.5032 	0.1609 
-2.6359 	7.0560 
6.6622 	5.9004 
0.2777 	8.0315 
1.8568 	-3.9502 
-6.3334 	1.2252 
-1.6679 	-4.5842 
-5.0804 	-2.5082 
-6.1774 	1.1251 
1.2831 	7.9805 
3.1480 	-2.1542 
-0.2324 	-10.9727 
-2.5399 	-10.7888 
5.4405 	6.7250 
5.4785 	6.7769 
-3.4073 	6.5354 
0.0195 	-11.0009 
-1.7158 	7.5041 
-0.7055 	-4.7313 
6.3297 	-8.3042 
-0.4992 	7.8530 
-6.2486 	1.2371 
0.5069 	7.9975 
0.3517 	-4.4931 
-2.2935 	-4.4767 
-2.4470 	-10.7539 
-3.2987 	-10.7735 
8.8358 	2.8151 
2.6898 	-2.9459 
-6.2555 	0.8807 
-2.5750 	7.1313 
4.4102 	-9.6200 
2.7141 	0.9920 
3.3696 	-1.7073 
-4.4499 	-3.1535 
9.6525 	-1.4372 
7.9951 	-6.1083 
9.5374 	-1.3717 
3.3247 	7.6425 
7.9083 	4.4008 
-5.2836 	4.5906 
7.7031 	-6.5920 
-5.3323 	-2.2266 
9.1947 	-3.5697 
-5.1180 	-2.4152 
-1.8306 	7.4917 
9.5083 	-0.0095 
6.2539 	-8.1795 
1.3835 	-4.1781 
-1.7004 	-10.8327 
6.5292 	-8.1422 
5.2605 	6.7944 
2.4321 	7.8471 
2.9733 	7.8598 
-4.7941 	5.0604 
6.3095 	6.0845 
6.5043 	6.0066 
4.4702 	-9.4778 
5.6669 	-8.6975 
9.5745 	-1.2421 
-1.1414 	7.7550 
4.8752 	-9.3206 
7.3993 	5.0689 
-2.7578 	6.9402 
-2.2036 	-10.8432 
1.2453 	-10.6706 
8.1535 	4.2845 
9.4575 	0.1360 
9.0810 	2.1277 
-5.8913 	-1.0698 
-5.0197 	4.9076 
4.4169 	7.3457 
-6.2100 	0.5426 
3.1594 	-10.2151 
-5.6511 	-1.6969 
-6.2818 	0.2061 
-4.4874 	-3.0266 
-6.1836 	0.2320 
2.3223 	7.8541 
-4.6901 	5.4398 
-1.4723 	-10.8465 
1.9936 	8.0166 
-5.2501 	-2.4081 
-0.3599 	-10.9956 
-4.6498 	-10.2450 
2.5386 	7.9359 
-0.8249 	-4.7585 
-6.0654 	2.2635 
0.6284 	7.9717 
9.2792 	1.8286 
-6.1052 	2.6480 
9.2263 	1.3169 
8.6330 	-4.9712 
-6.1059 	-0.1160 
-1.1566 	-4.6630 
-5.2084 	4.6955 
-4.3053 	5.7387 
1.7465 	7.9851 
6.2623 	6.0868 
1.0925 	-4.3038 
-6.1717 	2.6359 
5.2531 	-8.9039 
3.3879 	-0.2416 
-1.6684 	-10.8611 
8.2073 	-6.0264 
5.4155 	6.8157 
8.7776 	2.6144 
-6.1751 	0.8797 
3.8170 	7.4999 
-3.7040 	-10.6624 
7.9537 	4.3776 
7.0450 	5.4654 
-6.1973 	0.6421 
5.4818 	6.8130 
9.5163 	0.1382 
9.2895 	-3.2003 
-0.0964 	7.9555 
-1.8475 	7.5375 
-4.9748 	-10.1418 
3.3774 	-1.1837 
0.8395 	-10.7123 
-0.8513 	-11.0331 
5.4701 	-8.8529 
0.1701 	-4.5012 
-6.1176 	2.5349 
-3.4987 	6.4170 
9.3430 	-3.3087 
-2.5398 	-4.3317 
8.3261 	-5.5863 
-0.5201 	-4.7263 
9.5539 	-1.6345 
5.6444 	6.5932 
6.4026 	-8.1554 
8.6632 	-5.1723 
-0.3018 	-10.8826 
0.5397 	-10.9485 
-3.5369 	6.4140 
8.9699 	-4.4002 
-5.5721 	-1.5361 
3.4516 	-0.4846 
7.6922 	-6.5817 
6.0212 	6.3368 
4.9543 	7.0590 
-0.4119 	-10.8380 
9.3955 	0.8016 
9.5128 	0.3429 
2.2700 	-10.5699 
5.0731 	-9.0968 
8.9084 	2.8076 
-5.0606 	-2.5506 
-6.1910 	1.1897 
0.7075 	-10.7958 
3.3530 	-0.3556 
5.5405 	6.6497 
-4.3578 	-3.3258 
-4.4884 	-10.2769 
8.5687 	-5.1461 
6.0283 	6.3188 
4.3684 	7.2310 
2.6962 	-3.0059 
9.2870 	-3.2900 
3.4003 	-1.5270 
2.1247 	-3.6004 
6.9670 	5.5588 
0.3729 	-4.5564 
4.4540 	-9.5580 
4.5954 	-9.4734 
8.4628 	-5.6527 
-3.3601 	-4.0835 
9.4835 	-2.1557 
6.8289 	5.7517 
-4.2602 	-10.3425 
9.6190 	-1.5064 
5.4232 	-8.9679 
3.5445 	7.6899 
2.1856 	7.9010 
4.1236 	-9.6731 
1.2042 	-4.1754 
-2.2625 	-4.5065 
-4.7203 	-3.0291 
-0.4491 	7.9263 
3.8674 	-9.8028 
5.2539 	-9.0176 
2.7497 	-3.0035 
0.0796 	8.0445 
7.2241 	5.2509 
1.2442 	8.0225 
9.4488 	-1.8066 
9.5317 	-0.2261 
-5.4186 	4.3269 
2.1719 	8.0345 
2.7115 	0.9312 
